Source	Target
ABCA2	CTSD
ABCA2	ATP1B2
ABCA2	APP
ABCA2	GAB2
ABCA2	ATP1B1
ABCA2	FXYD1
ABCA2	ATP1A3
ABR	RHOB
ABR	TIAM1
ABR	RAC1
ACAP3	SEPTIN5
ACTB	AGO2
ACTB	SLC17A7
ACTB	NAMPT
ACTB	RPL19
ACTB	NFKB1
ACTB	RPS12
ACTB	SKP1
ACTB	TMSB10
ACTB	CTSD
ACTB	PFN2
ACTB	CANX
ACTB	YWHAH
ACTB	TMOD2
ACTB	NEDD8
ACTB	APOE
ACTB	JUND
ACTB	HIP1R
ACTB	RBM39
ACTB	GFAP
ACTB	FUS
ACTB	LGALS3
ACTB	H3-3B
ACTB	SNAP25
ACTB	PDGFRA
ACTB	SRSF1
ACTB	RPL35
ACTB	CCND2
ACTB	CYBA
ACTB	SMAD2
ACTB	RPL8
ACTB	PHLPP1
ACTB	CD81
ACTB	TUBB4A
ACTB	SLC1A3
ACTB	CDK6
ACTB	RPS11
ACTB	RHOB
ACTB	RPS27A
ACTB	FTH1
ACTB	RASA1
ACTB	SLC1A2
ACTB	RPS3
ACTB	ANK3
ACTB	THY1
ACTB	LY96
ACTB	APP
ACTB	NRG1
ACTB	KIT
ACTB	MYO1E
ACTB	FMNL2
ACTB	CALM3
ACTB	HPGDS
ACTB	SYN1
ACTB	GRIA2
ACTB	RPS23
ACTB	MAP1B
ACTB	NPM1
ACTB	HSP90B1
ACTB	DCTN5
ACTB	MAP1A
ACTB	FOS
ACTB	YWHAG
ACTB	GABARAP
ACTB	RPL13
ACTB	GLUL
ACTB	EEF2
ACTB	RPL38
ACTB	RPL4
ACTB	CLU
ACTB	NCL
ACTB	ARID1A
ACTB	DIAPH2
ACTB	HSPA5
ACTB	EIF4A2
ACTB	MORF4L1
ACTB	CD86
ACTB	ARID2
ACTB	HSP90AA1
ACTB	FMNL3
ACTB	EIF5A
ACTB	TUBA1B
ACTB	TUBB
ACTB	EEF1A1
ACTB	FOXO3
ACTB	RPL7
ACTB	HNRNPA1
ACTB	RPS2
ACTB	ERBB4
ACTB	PTMA
ACTB	RPL3
ACTB	RPLP1
ACTB	RPS3A
ACTB	RPL22
ACTB	GPX4
ACTB	ATG7
ACTB	HNRNPA2B1
ACTB	RAC1
ACTB	DYNC1H1
ACTB	HNRNPH1
ACTB	SFPQ
ACTB	GAD1
ACTB	TGFBR2
ACTB	MAP3K5
ACTB	MSN
ACTB	MAP2
ACTB	MT-CO1
ACTB	MT-CYB
ACTB	MT-ND1
ACTB	RPL12
ACTB	DCTN1
ACTB	MT-CO2
ACTB	DMD
ACTB	TOMM20
ACTB	PRKN
ACTB	SDHC
ACTB	BNIP3
ACTB	RPL5
ACTB	SCD
ACTB	GRIN1
ACTB	HSP90AB1
ACTB	RPL7A
ACTB	CAP1
ACTB	YWHAB
ACTB	PGK1
ACTB	HDAC8
ACTB	RPS4X
ACTB	OGT
ACTB	RPL10A
ACTB	MAP1LC3A
ACTB	SYK
ACTB	HNRNPK
ACTB	FTL
ACTB	RPS6KA3
ACTB	TUBB2A
ACTB	RPS6
ACTB	SMARCA2
ACTB	ALK
ACTB	RPS9
ACTB	RPL13A
ACTB	EEF1B2
ACTB	WIPF1
ACTB	GAP43
ACTB	CNP
ACTB	SPP1
ACTB	NCALD
ACTB	YWHAZ
ACTB	RPS8
ACTB	THRB
ACTB	GAPDH
ACTB	MBP
ACTB	BCL2
ACTB	CTNNA2
ACTB	PBRM1
ACTB	UBA52
ACTB	RPSA
ACTB	MITF
ACTB	RPS18
ACTB	TIA1
ACTB	SUMO2
ACTB	HDAC9
ACTB	PRKCA
ACTB	ARRB1
ACTB	STMN1
ACTB	GABARAPL1
ACTB	RPL32
ACTB	VAMP2
ACTB	BRAF
ACTB	PPIA
ACTB	ATP2C1
ACTB	RACK1
ACTB	RPL30
ACTB	LYN
ACTB	RPS20
ACTB	CFL1
ACTB	EIF4G2
ACTB	TXNRD1
ACTB	RPS13
ACTB	ENO2
ACTB	TUBA1A
ACTB	ARF1
ACTB	SOD2
ACTB	MYL6
ACTB	RPL18
ACTB	DNM1L
ACTB	RPLP0
ACTB	COX4I1
ACTB	ACTG1
ACTB	NLRP1
ACTB	TXNIP
ACTB	ARHGDIA
ACTB	RPL27
ACTB	BCAS3
ACTB	DTNA
ACTB	RPS19
ACTB	RPS5
ACTB	OAZ1
ACTB	TPT1
ACTB	PPP1R9B
ACTB	CLTC
ACTB	RPS10
ACTB	SPTAN1
ACTB	ARID1B
ACTB	HNRNPU
ACTB	RPL9
ACTB	RPS7
ACTB	AKT3
ACTB	CALM2
ACTB	RPL11
ACTB	RPS27
ACTB	SNCA
ACTB	DLG4
ACTB	CAMK2A
ACTB	ALDOA
ACTG1	PFN2
ACTG1	ATXN1
ACTG1	YWHAH
ACTG1	TMOD2
ACTG1	H3-3B
ACTG1	RPL8
ACTG1	MYO1E
ACTG1	FMNL2
ACTG1	CALM3
ACTG1	NPM1
ACTG1	DCTN5
ACTG1	YWHAG
ACTG1	EEF2
ACTG1	ARID1A
ACTG1	HSPA5
ACTG1	MORF4L1
ACTG1	CARMIL1
ACTG1	ARID2
ACTG1	HSP90AA1
ACTG1	FMNL3
ACTG1	TUBA1B
ACTG1	TUBB
ACTG1	EEF1A1
ACTG1	JARID2
ACTG1	RPS2
ACTG1	RAC1
ACTG1	MSN
ACTG1	DCTN1
ACTG1	DMD
ACTG1	HSP90AB1
ACTG1	CAP1
ACTG1	YWHAB
ACTG1	PGK1
ACTG1	RPL10A
ACTG1	PCDH15
ACTG1	HNRNPK
ACTG1	TUBB2A
ACTG1	SMARCA2
ACTG1	WIPF1
ACTG1	YWHAZ
ACTG1	GAPDH
ACTG1	CTNNA2
ACTG1	PBRM1
ACTG1	RBFOX1
ACTG1	PRKCA
ACTG1	PPIA
ACTG1	RACK1
ACTG1	CFL1
ACTG1	EIF4G2
ACTG1	TXNRD1
ACTG1	TUBA1A
ACTG1	MYL6
ACTG1	RPLP0
ACTG1	CALM1
ACTG1	CALM2
ACTG1	CLTC
ACTG1	ALDOA
ACTG1	ARID1B
ADAR	AGO2
ADAR	RBM39
ADAR	FUS
ADAR	XPO5
ADAR	CPEB3
ADAR	MBNL1
ADAR	GRIA2
ADAR	SRP9
ADAR	HNRNPA1
ADAR	IFITM3
ADAR	PARP14
ADAR	IFI35
ADAR	HNRNPU
ADAR	DDX17
ADAR	MATR3
ADAR	WNT2B
ADCY8	GRID2
ADCY8	PDE3B
ADCY8	RACK1
ADCY8	CALM2
ADCY8	GRIN1
ADCY8	PRKAR1B
ADCY8	PRKCB
ADCY8	AKT3
ADCY8	CALM1
ADCY8	CAMK2A
ADCY8	PDE4D
ADCY8	PDE7B
ADCY8	PRKCA
ADCY8	GNAS
ADCY8	CALM3
ADGRA1	ADGRF5
ADGRA1	ADGRL1
ADGRA1	ADGRL2
ADGRA1	PLEKHA5
ADGRA1	ADGRV1
ADGRA1	ADGRG1
ADGRA1	ADGRL3
ADGRB1	TIAM1
ADGRB1	EIF5A2
ADGRB1	OLR1
ADGRB1	ELMO1
ADGRB1	PHYHIP
ADGRB1	EIF5A
ADGRB1	RAC1
ADGRB1	GNAS
ADGRB1	NLGN1
ADGRB1	WWP1
ADGRB1	EIF5AL1
ADGRB1	DLG4
ADGRB2	EIF5A2
ADGRB2	ELMO1
ADGRB2	EIF5A
ADGRB2	GNAS
ADGRB2	CNTN5
ADGRB2	EIF5AL1
ADGRB3	GRID2
ADGRB3	EIF5A2
ADGRB3	ELMO1
ADGRB3	EIF5A
ADGRB3	ADGRL3
ADGRB3	ADGRG1
ADGRB3	EIF5AL1
ADGRB3	LRP1B
ADGRB3	PTPRD
ADGRB3	GNAS
ADGRF5	ADGRV1
ADGRF5	SPARCL1
ADGRF5	ADGRG1
ADGRG1	CD81
ADGRG1	GNAQ
ADGRG1	GNAS
ADGRG1	FOXP2
ADGRG1	ARRB1
ADGRL1	ISLR
ADGRL1	LRRC4C
ADGRL1	GNAQ
ADGRL1	LINGO2
ADGRL1	LINGO1
ADGRL1	LRCH1
ADGRL1	ERBIN
ADGRL1	SLITRK5
ADGRL1	LRMDA
ADGRL1	LRRTM4
ADGRL1	UNC5D
ADGRL1	UNC5C
ADGRL1	TENM2
ADGRL2	ISLR
ADGRL2	GYPC
ADGRL2	LRRC4C
ADGRL2	GNAQ
ADGRL2	LINGO1
ADGRL2	LINGO2
ADGRL2	LRCH1
ADGRL2	SLITRK5
ADGRL2	ROBO1
ADGRL2	LRRTM4
ADGRL2	ERBIN
ADGRL2	LRMDA
ADGRL2	UNC5C
ADGRL2	UNC5D
ADGRL2	TENM2
ADGRL3	ISLR
ADGRL3	LRRC4C
ADGRL3	LINGO1
ADGRL3	GNAS
ADGRL3	SLITRK5
ADGRL3	LINGO2
ADGRL3	PTPRD
ADGRL3	LRP1B
ADGRL3	LRCH1
ADGRL3	UNC5D
ADGRL3	LRRTM4
ADGRL3	NLGN1
ADGRL3	UNC5C
ADGRL3	ERBIN
ADGRL3	LRMDA
ADGRL3	TENM2
ADGRV1	LRRC4C
ADGRV1	GNAQ
ADGRV1	NF1
ADGRV1	PCDH15
ADGRV1	KCNQ3
ADGRV1	LRP1B
ADK	CYBA
ADK	RPL8
ADK	ZNF710
ADK	PDE3B
ADK	MAT2A
ADK	PDE7B
ADK	PURA
ADK	PPA2
ADK	PDE4D
ADK	AHCYL1
ADK	PGK1
ADK	GAPDH
ADK	DHFR
ADK	GPI
ADK	RPLP0
ADK	WWOX
AEBP2	H3-3B
AEBP2	RPS27A
AEBP2	YAF2
AEBP2	ARID2
AEBP2	JARID2
AEBP2	KDM6A
AEBP2	PLEKHA5
AEBP2	UBA52
AEBP2	CBX6
AGAP1	ARF5
AGAP1	TANC1
AGAP1	RASA1
AGAP1	ANK3
AGAP1	ASAP1
AGAP1	DLG4
AGAP1	ARF1
AGBL4	SYT17
AGBL4	GRM7
AGO2	EWSR1
AGO2	RPL11
AGO2	RPL21
AGO2	NUP42
AGO2	RPS6
AGO2	P2RY12
AGO2	SRSF1
AGO2	MATR3
AGO2	HNRNPK
AGO2	RPS3
AGO2	SNRNP70
AGO2	TAB2
AGO2	PRKN
AGO2	PURA
AGO2	ZNF609
AGO2	EIF4A2
AGO2	DLG4
AGO2	YWHAZ
AGO2	TENT2
AGO2	CD81
AGO2	HNRNPDL
AGO2	HNRNPU
AGO2	RACK1
AGO2	NUP58
AGO2	RPL5
AGO2	RBM47
AGO2	ARHGAP32
AGO2	FOS
AGO2	MAML2
AGO2	EEF1A1
AGO2	MAML3
AGO2	BCL2
AGO2	HSP90B1
AGO2	SFPQ
AGO2	NCOA1
AGO2	NLK
AGO2	RPL27A
AGO2	MBNL1
AGO2	RPS20
AGO2	HNRNPA2B1
AGO2	SDHC
AGO2	SERBP1
AGO2	TIA1
AGO2	HNRNPA1
AGO2	FUS
AGO2	DDX17
AGO2	FOXO3
AGO2	NCL
AGO2	CDK6
AGO2	H3-3B
AGO2	CCND2
AGO2	GAPDH
AGO2	PCBP2
AGO2	PUM2
AGO2	ZFP36
AGO2	XPO5
AGO2	NPM1
AGO2	HSP90AB1
AGO2	HSP90AA1
AHCYL1	MAT2A
AHCYL1	EEF2
AHCYL1	SHTN1
AHCYL1	RACK1
AHCYL1	SUMO2
AHCYL1	GAPDH
AHCYL1	ITPR2
AHI1	RABEP1
AHI1	FOXP2
AHI1	WWOX
AHI1	EVI5
AHI1	PDE7B
AHI1	RAB3IP
AIFM3	GLUL
AIFM3	SOD2
AKAP10	AKAP11
AKAP10	MSN
AKAP10	VPS50
AKAP10	DLG4
AKAP10	PDE3B
AKAP10	PRKAR1B
AKAP10	RGS10
AKAP10	RGS11
AKAP10	RGS6
AKAP11	MSN
AKAP11	PDE3B
AKAP11	MAP2
AKAP11	PRKAR1B
AKAP11	TBC1D4
AKAP11	GPC5
AKNAD1	RPL18A
AKNAD1	SEC61B
AKNAD1	EDF1
AKNAD1	RPL19
AKNAD1	FANCE
AKNAD1	RPS12
AKNAD1	RPS4Y1
AKNAD1	RSAD1
AKNAD1	RPL35
AKNAD1	RPL8
AKNAD1	RPL3L
AKNAD1	RPS11
AKNAD1	RPS27A
AKNAD1	RPS3
AKNAD1	EIF5B
AKNAD1	CCDC105
AKNAD1	MRNIP
AKNAD1	RPL29
AKNAD1	EIF5A2
AKNAD1	RPS23
AKNAD1	RPL10L
AKNAD1	MED1
AKNAD1	ARL6IP1
AKNAD1	RPL13
AKNAD1	EEF2
AKNAD1	RPL15
AKNAD1	DAPL1
AKNAD1	RPL38
AKNAD1	RPL4
AKNAD1	RPS15A
AKNAD1	RPS27L
AKNAD1	EIF5A
AKNAD1	RPL7
AKNAD1	RPS2
AKNAD1	RPS21
AKNAD1	RPL3
AKNAD1	RPL36AL
AKNAD1	RPL27A
AKNAD1	RPL21
AKNAD1	RPLP1
AKNAD1	RPS3A
AKNAD1	RPL22L1
AKNAD1	RPL22
AKNAD1	RPS26
AKNAD1	RPL12
AKNAD1	HMGN2
AKNAD1	RPL39
AKNAD1	GAGE2A
AKNAD1	TEX48
AKNAD1	IFRD2
AKNAD1	MRPS14
AKNAD1	EIF5AL1
AKNAD1	SPDYE14
AKNAD1	H3BN98_HUMAN
AKNAD1	ENSP00000499200
AKNAD1	ENSP00000498801
AKNAD1	SPDYE9P
AKNAD1	GAGE12G
AKNAD1	GAGE12C
AKNAD1	GAGE10
AKNAD1	GAGE12E
AKNAD1	RPL32
AKNAD1	GAGE2E
AKNAD1	GAGE13
AKNAD1	GAGE12J
AKNAD1	GAGE12D
AKNAD1	GAGE12H
AKNAD1	GAGE12F
AKNAD1	GAGE1
AKNAD1	HABP4
AKNAD1	SERBP1
AKNAD1	HMGN1
AKNAD1	NPSR1
AKNAD1	RPL7L1
AKNAD1	RPS5
AKNAD1	NSA2
AKNAD1	RPL10
AKNAD1	H3BNC9_HUMAN
AKNAD1	RPL36A
AKNAD1	RPL36A-HNRNPH2
AKNAD1	RPS29
AKNAD1	RPS4Y2
AKNAD1	RPS4X
AKNAD1	WDR31
AKNAD1	RACK1
AKNAD1	RPL13A
AKNAD1	RPL7A
AKNAD1	DOCK4
AKNAD1	RPSA
AKNAD1	CXorf66
AKNAD1	RSRC1
AKNAD1	RPS27
AKNAD1	RPL17-C18orf32
AKNAD1	RPS14
AKNAD1	RPL9
AKNAD1	RPL17
AKNAD1	RPL10A
AKNAD1	RPS10
AKNAD1	RPS10-NUDT3
AKNAD1	RPL35A
AKNAD1	RPL23
AKNAD1	RPL27
AKNAD1	IFI35
AKNAD1	RPL34
AKNAD1	RPL37A
AKNAD1	RPLP0
AKNAD1	RPS13
AKNAD1	RPL26
AKNAD1	RPL26L1
AKNAD1	RPL39L
AKNAD1	RPLP2
AKNAD1	RPL28
AKNAD1	RPS19
AKNAD1	UBA52
AKNAD1	RPS9
AKNAD1	RPL36
AKNAD1	RPS20
AKNAD1	RPL18
AKNAD1	RPL30
AKNAD1	RPS6
AKNAD1	RPS16
AKNAD1	RPS28
AKNAD1	RPL5
AKNAD1	RPS8
AKNAD1	RPS17
